model,CAGR,Sharpe,maxDD,2021,2022,2023,2024,2025,2026
Blend (transformer + momentum),41.697401061724634,1.4836526763999185,-27.39711377086237,80.58249868237948,12.184289873257793,99.2781267018866,30.65721260807919,10.560347854490693,-2.45446883894479
Ridge,40.30045680575356,1.5140864856306446,-27.57621707848016,62.0934409276674,33.263050429345434,76.26851182828351,50.254563995330614,-0.5255858859825713,-4.861624902753093
Cross-sectional transformer,40.0602028558275,1.431844172565821,-25.790379777818583,64.7891716987901,7.885909172819261,120.62275454269114,45.277940443866946,1.0950934211856556,-6.812328222090336
12-1 momentum,39.02500334933112,1.3671578124759314,-30.28748129809363,76.6804667733706,11.300359169558515,95.66867329621876,29.292649957875305,6.83551471154864,-2.665859908976276
LSTM (sequences + factors),38.09970017594071,1.582223091681559,-21.156778956913502,78.67143885680812,10.702515262140988,68.29914470864121,49.898462091652476,5.299799858779597,-4.769632093675035
MLP (factors only),37.7423298368593,1.6299419294279216,-23.52987111312158,71.30509927106694,15.555859087736179,63.30430737789021,54.86417628476617,2.6313387765075857,-3.8629711979353165
XGBoost,35.35871017183887,1.2715786706592833,-26.44080868424441,57.45836255651706,21.787438242627033,73.76703058536611,48.528913915235414,-2.1575098903792833,-6.504304547176243
Equal-weight NIFTY500 (benchmark),21.048330318278687,0.8980797692778134,-23.342385178828184,37.588482058694495,3.935010907241354,49.96520156821656,21.652577467654034,4.132394553546459,-4.552446491644058
LSTM (sequences only),18.697854215172338,0.6604388057922961,-27.938937712424384,26.975611469234686,-3.4544371369852223,54.738834245610214,32.47504228848528,2.022089786411563,-8.283413932363315
NIFTY 50,12.654084062487247,0.4779283682901648,-17.229756084670143,24.119303958731898,4.32896048000333,20.02783413093141,8.80477261580619,10.50885922496494,-3.095911268612661
