strategy,CAGR,Sharpe,vol,maxDD,2021,2022,2023,2024,2025,2026
cross-sectional transformer,52.17045753208838,1.6297532227663425,23.855847546614388,-28.207548680317153,108.42905700760474,15.213593918904444,106.55171899160129,76.60774114168301,4.008850447466195,9.736710936188441
transformer + momentum,49.03631624518696,1.5330064673249144,24.0308279864533,-28.38212703839873,112.38452841199714,23.379430950077197,101.95595583435906,47.48166726540679,6.685259326762738,7.125080747436119
ridge + transformer,46.165740703176475,1.4701730194819338,23.67424697585917,-28.715013426990176,84.89391755522404,23.345654421562113,107.1399573240277,61.40767499951642,-4.608632628839981,10.22764820967268
12-1 momentum,46.93269264739088,1.4552302934630237,24.399703645908144,-30.54828777327627,103.52893332495738,17.74198433427767,106.88279249467266,45.09419576352271,6.04328618072012,8.16422378580992
ridge alone,43.36855477306487,1.4209920699015974,23.022830226590653,-29.052622166727502,74.0975578595206,35.83297705907877,94.337987710063,66.28168179856534,-10.578875353376615,5.52927614376173
equal-weight benchmark,28.398581237401267,1.1790648901211942,17.415103331203007,-21.464554010554295,53.40671278290758,10.539994399987407,57.68370242265404,32.99705076236976,5.936013034435916,4.549464747372678
