strategy,CAGR,Sharpe,vol,maxDD,2021,2022,2023,2024,2025,2026
ridge+transformer,54.98657847187782,1.6992902885067418,23.98095181432831,-27.94794035520369,86.1922229220402,28.952180680235863,119.34457773858438,74.02562824855865,0.8571150272404626,-3.757218549510122
all three,52.354583694099375,1.6275854098873965,23.982545217816913,-27.268305793223103,97.3969493584779,24.040212083332534,109.63569637364179,48.548691865636975,9.61931578875641,-2.281524803243562
transformer+momentum (blend),51.46530022509255,1.575843698495994,24.476089510114207,-27.000363063728962,103.68893456549544,20.792735359857815,106.67683014197924,41.958358016698604,12.390040262574619,-2.224436793128659
ridge,47.36093898497895,1.5523863407548488,22.815828970970266,-29.142613559671048,73.43316957651733,35.492691699431525,98.79466206619263,63.2166355889211,-3.6138515133832705,-5.88138008537441
transformer,49.99184758017006,1.5507626489545845,24.197563793183058,-26.15436051363226,82.84545889555793,15.353338995664867,131.6620414059801,65.91429831293915,-0.060227148844160805,-6.749572888473676
momentum,45.82009914322798,1.4490198875842668,23.894293800574562,-27.44509716778758,79.4606213810654,20.045651654969387,99.56244635338321,39.661794894492196,12.880009924139424,-3.1615875707368346
equal-weight benchmark,29.26531458831656,1.2379021397858423,17.086063303056157,-21.464554010554295,53.40671278290758,10.539994399987407,57.68370242265404,32.99705076236976,5.936013034435916,-4.490488190199871
